customer_id,run_id,num_baristas,arrival_time,service_start,service_end,waiting_time,service_time,system_time
126,0,3,383.3704,383.4053,386.7499,0.0349,3.3446,3.3795
127,0,3,385.7506,385.7506,387.9525,0.0,2.2019,2.2019
123,0,3,381.1046,381.1046,388.6865,0.0,7.5819,7.5819
130,0,3,390.794,390.794,391.8002,0.0,1.0062,1.0062
128,0,3,387.8876,387.8876,392.0834,0.0,4.1957,4.1957
131,0,3,391.9755,391.9755,393.649,0.0,1.6735,1.6735
129,0,3,389.7663,389.7663,394.6561,0.0,4.8897,4.8897
133,0,3,394.7797,394.7797,397.9237,0.0,3.144,3.144
135,0,3,395.5992,397.9237,398.9392,2.3245,1.0155,3.3399
132,0,3,393.8666,393.8666,399.1511,0.0,5.2846,5.2846
136,0,3,398.8861,398.9392,399.3546,0.0531,0.4154,0.4685
137,0,3,399.2485,399.2485,402.3706,0.0,3.1221,3.1221
134,0,3,395.5638,395.5638,403.1759,0.0,7.6121,7.6121
138,0,3,399.2838,399.3546,405.6995,0.0708,6.3449,6.4156
141,0,3,411.1292,411.1292,413.5558,0.0,2.4265,2.4265
139,0,3,408.8219,408.8219,413.7444,0.0,4.9225,4.9225
140,0,3,410.5838,410.5838,416.7456,0.0,6.1619,6.1619
142,0,3,415.55,415.55,418.9533,0.0,3.4034,3.4034
143,0,3,426.8949,426.8949,428.2964,0.0,1.4015,1.4015
144,0,3,429.5655,429.5655,432.0407,0.0,2.4752,2.4752
145,0,3,434.2304,434.2304,440.7004,0.0,6.47,6.47
146,0,3,438.0352,438.0352,444.2853,0.0,6.2502,6.2502
147,0,3,456.1185,456.1185,456.879,0.0,0.7605,0.7605
148,0,3,457.4454,457.4454,462.6077,0.0,5.1624,5.1624
151,0,3,462.3253,462.6077,463.7275,0.2824,1.1198,1.4022
149,0,3,458.8228,458.8228,464.8634,0.0,6.0406,6.0406
152,0,3,464.7721,464.7721,465.1672,0.0,0.3951,0.3951
154,0,3,465.5398,465.5398,466.0498,0.0,0.5101,0.5101
153,0,3,464.7838,464.8634,469.1299,0.0796,4.2665,4.3461
150,0,3,461.1935,461.1935,472.952,0.0,11.7585,11.7585
155,0,3,469.7609,469.7609,473.8546,0.0,4.0937,4.0937
158,0,3,474.037,474.037,475.2086,0.0,1.1716,1.1716
159,0,3,475.7333,475.7333,476.7881,0.0,1.0549,1.0549
156,0,3,473.3132,473.3132,477.7232,0.0,4.41,4.41
160,0,3,477.2352,477.2352,478.6912,0.0,1.456,1.456
157,0,3,473.5748,473.5748,481.4891,0.0,7.9144,7.9144
161,0,3,477.5764,477.7232,483.4482,0.1468,5.725,5.8718
162,0,3,478.9017,478.9017,484.285,0.0,5.3833,5.3833
1,1,3,0.9678,0.9678,1.4194,0.0,0.4515,0.4515
4,1,3,5.2545,5.2545,5.6757,0.0,0.4212,0.4212
5,1,3,7.0594,7.0594,7.6283,0.0,0.5689,0.5689
3,1,3,4.4856,4.4856,10.2362,0.0,5.7506,5.7506
6,1,3,10.8116,10.8116,12.0544,0.0,1.2428,1.2428
2,1,3,3.7215,3.7215,14.6588,0.0,10.9373,10.9373
7,1,3,12.6996,12.6996,17.4122,0.0,4.7126,4.7126
9,1,3,18.117,18.117,19.0651,0.0,0.9481,0.9481
10,1,3,20.976,20.976,21.2798,0.0,0.3038,0.3038
12,1,3,22.7529,22.7529,22.9278,0.0,0.1749,0.1749
11,1,3,22.0893,22.0893,25.0878,0.0,2.9985,2.9985
13,1,3,23.7027,23.7027,29.8514,0.0,6.1487,6.1487
8,1,3,17.5944,17.5944,30.2912,0.0,12.6968,12.6968
14,1,3,31.6324,31.6324,32.0637,0.0,0.4312,0.4312
16,1,3,38.2578,38.2578,38.611,0.0,0.3531,0.3531
17,1,3,38.4872,38.4872,40.8814,0.0,2.3942,2.3942
15,1,3,35.9853,35.9853,41.4723,0.0,5.487,5.487
18,1,3,42.2572,42.2572,42.8747,0.0,0.6175,0.6175
19,1,3,57.5476,57.5476,58.8244,0.0,1.2767,1.2767
20,1,3,58.2493,58.2493,59.4665,0.0,1.2172,1.2172
21,1,3,60.3199,60.3199,60.4111,0.0,0.0912,0.0912
22,1,3,60.5194,60.5194,62.0544,0.0,1.535,1.535
24,1,3,67.4742,67.4742,68.3732,0.0,0.899,0.899
25,1,3,73.2339,73.2339,74.7473,0.0,1.5134,1.5134
23,1,3,66.426,66.426,82.8029,0.0,16.3769,16.3769
26,1,3,87.3372,87.3372,89.8286,0.0,2.4914,2.4914
27,1,3,91.9038,91.9038,92.5304,0.0,0.6266,0.6266
28,1,3,99.7384,99.7384,100.3374,0.0,0.5989,0.5989
29,1,3,100.0614,100.0614,107.92,0.0,7.8586,7.8586
30,1,3,114.8228,114.8228,115.6397,0.0,0.8169,0.8169
31,1,3,116.2561,116.2561,120.6532,0.0,4.3971,4.3971
33,1,3,123.1356,123.1356,123.5425,0.0,0.4068,0.4068
35,1,3,127.0397,127.0397,127.563,0.0,0.5232,0.5232
34,1,3,125.3223,125.3223,128.5711,0.0,3.2488,3.2488
32,1,3,121.1388,121.1388,132.0828,0.0,10.944,10.944
36,1,3,131.6048,131.6048,134.6474,0.0,3.0425,3.0425
37,1,3,135.8347,135.8347,138.958,0.0,3.1233,3.1233
38,1,3,136.5712,136.5712,139.0865,0.0,2.5153,2.5153
40,1,3,136.8081,138.958,143.3603,2.1498,4.4023,6.5521
39,1,3,136.7957,136.7957,143.8847,0.0,7.089,7.089
42,1,3,139.9851,143.3603,144.1126,3.3751,0.7524,4.1275
41,1,3,139.8687,139.8687,144.5003,0.0,4.6316,4.6316
43,1,3,140.8547,143.8847,151.963,3.03,8.0783,11.1083
